Rank	Team	Power Rating	Gender Division	Competition Division	City	State	Club Region	Club Section	Wins	Losses
172	Rebels	505	Men	Recreational	Haddonfield	NJ	Mid-Atlantic	Founders	4	7
173	Rubicon Rapids	493	Men	 	Hartford	WI	North Central	Northwest Plains	4	18
174	Friendly Fire	491	Men	Classic	Kansas City	MO	North Central	West Plains	3	15
175	Harvest Moon	473	Men	 	Cumming	GA	Southeast	East Coast	9	8
176	Capitol City Chaos	453	Men	 	Montgomery	AL	Southeast	Gulf Coast	5	7
177	Sonoran Pups	452	Men	Classic	Tucson	AZ	Southwest	So Cal	2	8
178	DCVIII	418	Men	Classic	Madison	WI	North Central	Northwest Plains	4	20
179	Mischief	409	Men	Classic	Livonia	MI	Great Lakes	East Plains	8	27
180	Shenanigans	401	Men	Classic	Bloomington	IN	Great Lakes	Central Plains	3	14
181	Frizz	401	Men	 	Gainesville	FL	Southeast	Florida	4	7
182	Monsoon	376	Men	Classic	Phoenix	AZ	Southwest	So Cal	1	21
183	Loaded Panda	365	Men	Classic	Cedar Falls, Iowa	IA	North Central	West Plains	2	22
184	MBTA	352	Men	Classic	Boston	MA	Northeast	East New England	4	13
185	BDC	350	Men	Classic	Washington	DC	Mid-Atlantic	Capital	8	15
186	Ronin	333	Men	Classic	Madison	AL	Southeast	Gulf Coast	3	9
187	EZ	312	Men	Classic	Wilmington	DE	Mid-Atlantic	Founders	3	12
188	PARLAY	261	Men	Classic	Charlotte	NC	Southeast	North Carolina	5	24
189	Jolly Roger	254	Men	 	Newport News	VA	Mid-Atlantic	Capital	3	8
190	Riverside Messengers	251	Men	Classic	Austin	TX	South Central	Texas	2	21
191	ONI	238	Men	Classic	Vancouver	BC	Northwest	Washington/BC	0	11
192	Beef Depot	236	Men	Classic	Washington	DC	Mid-Atlantic	Capital	8	18
193	Buffalo Frostbite	232	Men	Classic	Buffalo	NY	Northeast	Upstate NY	11	15
194	Crossfire	228	Men	Classic	Boston	MA	Northeast	East New England	5	18
195	Golden Triangle Ultimate	212	Men	Classic	Golden Triangle	MS	Southeast	Gulf Coast	3	19
196	Gambit	208	Men	Classic	Charlotte	NC	Southeast	North Carolina	4	15
197	Atlanta Outlaws	187	Men	Classic	Atlanta	GA	Southeast	East Coast	4	7
198	Tennessee Folklore	116	Men	Classic	Knoxville	TN	Southeast	East Coast	3	15
199	Oakay	111	Men	Recreational	Raleigh	NC	Southeast	North Carolina	2	23
200	Watchmen	81	Men	Classic	Nashville	TN	Southeast	East Coast	4	14
201	Long Island Riff Raff	79	Men	Classic	Dix Hills	NY	Northeast	Metro NY	3	15
202	Supercell	70	Men	Classic	Oklahoma City	OK	South Central	Ozarks	2	16
203	Spring Break '93	59	Men	Classic	Seymour	CT	Northeast	Metro NY	3	15
204	Power Point Ultimate	10	Men	 	Augusta	GA	Southeast	East Coast	2	15
205	Anchor	4	Men	Classic	San Francisco	CA	Southwest	NorCal	1	12
206	Bud	-47	Men	 	Orlando	FL	Southeast	Florida	2	9
207	Motive	-124	Men	Classic	Albany	NY	Northeast	Upstate NY	3	19
208	Chemical X	-205	Men	 	State College	PA	Mid-Atlantic	Founders	1	12
209	Mohawk Valley Wild	-341	Men	Classic	Utica	NY	Northeast	Upstate NY	1	9
210	Players Into Serious Sports	-353	Men	Developmental	Tampa	FL	Southeast	Florida	0	12
1	Fury	2383	Women	Pro	San Francisco	CA	Southwest	NorCal	20	1
2	Scandal	2226	Women	Pro	Washington	DC	Mid-Atlantic	Capital	25	4
3	Brute Squad	2134	Women	Pro	Boston	MA	Northeast	East New England	15	5
4	Phoenix	2052	Women	Pro	Raleigh	NC	Southeast	North Carolina	21	8
5	Flipside	2040	Women	Pro	San Diego	CA	Southwest	So Cal	17	8
6	Molly Brown	2040	Women	Pro	Denver/Boulder	CO	South Central	Rocky Mountain	26	5
7	Seattle Riot	1989	Women	Elite	Seattle	WA	Northwest	Washington/BC	23	8
8	BENT	1951	Women	Pro	New York	NY	Northeast	Metro NY	16	12
9	6ixers	1886	Women	Elite	Toronto	Ontario	Northeast	Upstate NY	16	9
10	Schwa	1856	Women	Elite	Portland	OR	Northwest	Oregon	25	9
11	Traffic	1763	Women	Pro	Vancouver	BC	Northwest	Washington/BC	15	9
12	Iris	1711	Women	Top Select	Québec	Quebec	Northeast	West New England	13	13
13	Grit	1642	Women	Elite	Washington	DC	Mid-Atlantic	Capital	15	17
14	Parcha	1625	Women	Elite	Pittsburgh	PA	Mid-Atlantic	Founders	18	13
15	Nightlock	1570	Women	Elite	Bay Area	CA	Southwest	NorCal	11	12
16	NCT	1560	Women	Classic	Ottawa	ON	Northeast	Upstate NY	7	3
17	LOL	1544	Women	Select	Oakland	CA	Southwest	NorCal	19	5
18	Dark Sky	1455	Women	Top Select	Utah	UT	Northwest	Big Sky	12	7
19	Nemesis	1425	Women	Elite	Chicago	IL	Great Lakes	Central Plains	11	14
20	Starling Ultimate	1406	Women	Select	Northampton	MA	Northeast	West New England	10	10
21	Pop	1388	Women	Elite	Minneapolis	MN	North Central	Northwest Plains	10	13
22	Vengeance	1384	Women	Select	Austin	TX	South Central	Texas	24	5
23	Flight	1370	Women	Select	Philadelphia	PA	Mid-Atlantic	Founders	15	10
24	Underground	1314	Women	Select	Seattle	WA	Northwest	Washington/BC	13	10
25	Wildfire	1280	Women	Top Select	San Diego	CA	Southwest	So Cal	17	4
26	Ozone	1218	Women	Top Select	Atlanta	GA	Southeast	East Coast	18	4
27	Siege	1216	Women	Select	Boston	MA	Northeast	East New England	15	7
28	Heist	1143	Women	Top Select	Madison	WI	North Central	Northwest Plains	17	9
29	Seattle END	1101	Women	Classic	Seattle	WA	Northwest	Washington/BC	16	6
30	Colorado Small Batch	1082	Women	Top Select	Denver	CO	South Central	Rocky Mountain	9	13
31	Indy Rogue	1072	Women	Select	Indianapolis	IN	Great Lakes	Central Plains	19	6
32	Crush City	1071	Women	Select	Houston	TX	South Central	Texas	18	9
33	Wicked	1048	Women	Select	Kansas City	KS	North Central	West Plains	21	5
34	Colorado Kelp	1042	Women	Classic	Boulder	CO	South Central	Rocky Mountain	10	11
35	Eugene Further	1029	Women	 	Eugene	OR	Northwest	Oregon	5	6
36	Outrage	1006	Women	Top Select	Ann Arbor	MI	Great Lakes	East Plains	18	11
37	Tabby Rosa	1003	Women	Select	Gainesville	FL	Southeast	Florida	14	8
38	FAB	1002	Women	Select	Bay Area	CA	Southwest	NorCal	15	17
39	Brooklyn Book Club	997	Women	Select	Brooklyn	NY	Northeast	Metro NY	11	14
40	San Antonio Problems	957	Women	Classic	San Antonio	TX	South Central	Texas	17	12
41	Juice Box	931	Women	Select	Charlotte and Asheville	NC	Southeast	North Carolina	16	15
42	Agency	922	Women	Select	Washington	DC	Mid-Atlantic	Capital	14	12
43	Hucklebears	885	Women	 	Victoria	British Columbia	Northwest	Washington/BC	5	6
44	CHAOS	877	Women	Classic	Charleston	SC	Southeast	East Coast	12	10
45	Vice	859	Women	Classic	Cambridge	MA	Northeast	East New England	14	7
46	Shiver	782	Women	 	Durham	NC	Southeast	North Carolina	12	12
47	Hayride	745	Women	Select	Tulsa	OK	South Central	Ozarks	6	11
48	Rampage	740	Women	Select	Los Angeles	CA	Southwest	So Cal	13	9
49	Void Cat Rewind	734	Women	Select	Sunnyvale	CA	Southwest	NorCal	15	12
50	Drift	734	Women	Select	Vancouver	BC	Northwest	Washington/BC	8	14
51	Trainwreck	681	Women	Classic	Fort Collins	CO	South Central	Rocky Mountain	13	8
52	Zephyr	670	Women	Top Select	Philadelphia	PA	Mid-Atlantic	Founders	12	12
53	Stellar	613	Women	Top Select	St. Louis	MO	North Central	West Plains	12	14
54	Pine Baroness	606	Women	Select	New Brunswick	NJ	Mid-Atlantic	Founders	10	17
55	Frolic	605	Women	Classic	Portland	ME	Northeast	East New England	6	6
56	Virginia Rebellion	604	Women	Classic	Richmond	VA	Mid-Atlantic	Capital	13	15
57	Pizza Rat	576	Women	 	New York City	NY	Northeast	Metro NY	11	15
58	Calypso	548	Women	Classic	Tampa	FL	Southeast	Florida	9	11
59	Wave	546	Women	Classic	Baltimore	MD	Mid-Atlantic	Capital	10	9
60	Dish	470	Women	Select	Chicago	IL	Great Lakes	Central Plains	9	17
61	Fiasco	444	Women	Select	Miami	FL	Southeast	Florida	6	15
62	Lake Erie Walleye	439	Women	Classic	Cleveland	OH	Great Lakes	East Plains	9	13
63	Magma	410	Women	Classic	Marietta	GA	Southeast	East Coast	9	13
